date,value
25-02-2019 15:27,3060
26-02-2019 15:27,2965
27-02-2019 15:27,3045
28-02-2019 15:27,3005
01-03-2019 15:27,2991
02-03-2019 15:27,2947
03-03-2019 15:27,2982
04-03-2019 15:27,2996
05-03-2019 15:27,3045
06-03-2019 15:27,3041
07-03-2019 15:27,3020
08-03-2019 15:27,3012
09-03-2019 15:27,2980
10-03-2019 15:27,3085
11-03-2019 15:27,3011
12-03-2019 15:27,3043
13-03-2019 15:27,3008
14-03-2019 15:27,3091
15-03-2019 15:27,3045
16-03-2019 15:27,3051
17-03-2019 15:27,3058
18-03-2019 15:27,3034
19-03-2019 15:27,3092
20-03-2019 15:27,3056
21-03-2019 15:27,3095
22-03-2019 15:27,3094
23-03-2019 15:27,3075
24-03-2019 15:27,3094
25-03-2019 15:27,3043
26-03-2019 15:27,3029
27-03-2019 15:27,3063
28-03-2019 15:27,3024
29-03-2019 15:27,3035
30-03-2019 15:27,3097
31-03-2019 15:27,3052
01-04-2019 15:27,3127
02-04-2019 15:27,3130
03-04-2019 15:27,3117
04-04-2019 15:27,3093
05-04-2019 15:27,3101
06-04-2019 15:27,3098
07-04-2019 15:27,3118
08-04-2019 15:27,3138
09-04-2019 15:27,3125
10-04-2019 15:27,3133
11-04-2019 15:27,3127
12-04-2019 15:27,3146
13-04-2019 15:27,3178
14-04-2019 15:27,3090
15-04-2019 15:27,3096
16-04-2019 15:27,3116
17-04-2019 15:27,3105
18-04-2019 15:27,3161
19-04-2019 15:27,3160
20-04-2019 15:27,3078
21-04-2019 15:27,3125
22-04-2019 15:27,3150
23-04-2019 15:27,3076
24-04-2019 15:27,3124
25-04-2019 15:27,3166
26-04-2019 15:27,3082
27-04-2019 15:27,3155
28-04-2019 15:27,3111
29-04-2019 15:27,3170
30-04-2019 15:27,3153
01-05-2019 15:27,3105
02-05-2019 15:27,3189
03-05-2019 15:27,3130
04-05-2019 15:27,3107
05-05-2019 15:27,3147
06-05-2019 15:27,3163
07-05-2019 15:27,3158
08-05-2019 15:27,3156
09-05-2019 15:27,3171
10-05-2019 15:27,3122
11-05-2019 15:27,3191
12-05-2019 15:27,3120
13-05-2019 15:27,3159
14-05-2019 15:27,3123
15-05-2019 15:27,3137
16-05-2019 15:27,3103
17-05-2019 15:27,3111
18-05-2019 15:27,3132
19-05-2019 15:27,3147
20-05-2019 15:27,3115
21-05-2019 15:27,3195
22-05-2019 15:27,3152
23-05-2019 15:27,3126
24-05-2019 15:27,3128
25-05-2019 15:27,3126
26-05-2019 15:27,3161
27-05-2019 15:27,3135
28-05-2019 15:27,3192
29-05-2019 15:27,3112
30-05-2019 15:27,3141
31-05-2019 15:27,3164
01-06-2019 15:27,3137
02-06-2019 15:27,3165
03-06-2019 15:27,3127
04-06-2019 15:27,3143
05-06-2019 15:27,3158
06-06-2019 15:27,3176
07-06-2019 15:27,3150
08-06-2019 15:27,3106
09-06-2019 15:27,3098
10-06-2019 15:27,3132
11-06-2019 15:27,3139
12-06-2019 15:27,3137
13-06-2019 15:27,3144
14-06-2019 15:27,3132
15-06-2019 15:27,3127
16-06-2019 15:27,3137
17-06-2019 15:27,3191
18-06-2019 15:27,3132
19-06-2019 15:27,3125
20-06-2019 15:27,3158
21-06-2019 15:27,3147
22-06-2019 15:27,3134
23-06-2019 15:27,3110
24-06-2019 15:27,3187
25-06-2019 15:27,3155
26-06-2019 15:27,3130
27-06-2019 15:27,3087
28-06-2019 15:27,3150
29-06-2019 15:27,3103
30-06-2019 15:27,3122
01-07-2019 15:27,3153
02-07-2019 15:27,3111
03-07-2019 15:27,3118
04-07-2019 15:27,3131
05-07-2019 15:27,3126
06-07-2019 15:27,3066
07-07-2019 15:27,3115
08-07-2019 15:27,3071
09-07-2019 15:27,3108
10-07-2019 15:27,3129
11-07-2019 15:27,3079
12-07-2019 15:27,3080
13-07-2019 15:27,3056
14-07-2019 15:27,3088
15-07-2019 15:27,3078
16-07-2019 15:27,3091
17-07-2019 15:27,3132
18-07-2019 15:27,3120
19-07-2019 15:27,3078
20-07-2019 15:27,3105
21-07-2019 15:27,3033
22-07-2019 15:27,3025
23-07-2019 15:27,3029
24-07-2019 15:27,3035
25-07-2019 15:27,3077
26-07-2019 15:27,3097
27-07-2019 15:27,3096
28-07-2019 15:27,3061
29-07-2019 15:27,3041
30-07-2019 15:27,3068
31-07-2019 15:27,3033
01-08-2019 15:27,3070
02-08-2019 15:27,3082
03-08-2019 15:27,3014
04-08-2019 15:27,3056
05-08-2019 15:27,3011
06-08-2019 15:27,2969
07-08-2019 15:27,3049
08-08-2019 15:27,2996
09-08-2019 15:27,3057
10-08-2019 15:27,2983
11-08-2019 15:27,3112
12-08-2019 15:27,3031
13-08-2019 15:27,3021
14-08-2019 15:27,3042
15-08-2019 15:27,2997
16-08-2019 15:27,3023
17-08-2019 15:27,3038
18-08-2019 15:27,3022
19-08-2019 15:27,2987
20-08-2019 15:27,3034
21-08-2019 15:27,3007
22-08-2019 15:27,2959
23-08-2019 15:27,3029
24-08-2019 15:27,2996
25-08-2019 15:27,2986
26-08-2019 15:27,3053
27-08-2019 15:27,3045
28-08-2019 15:27,2965
29-08-2019 15:27,3034
30-08-2019 15:27,2980
31-08-2019 15:27,3014
01-09-2019 15:27,2978
02-09-2019 15:27,3014
03-09-2019 15:27,2965
04-09-2019 15:27,2979
05-09-2019 15:27,2974
06-09-2019 15:27,3006
07-09-2019 15:27,2974
08-09-2019 15:27,3005
09-09-2019 15:27,2976
10-09-2019 15:27,2964
11-09-2019 15:27,2969
12-09-2019 15:27,3002
13-09-2019 15:27,2954
14-09-2019 15:27,2962
15-09-2019 15:27,2951
16-09-2019 15:27,2884
17-09-2019 15:27,2964
18-09-2019 15:27,2960
19-09-2019 15:27,2958
20-09-2019 15:27,2960
21-09-2019 15:27,2920
22-09-2019 15:27,2896
23-09-2019 15:27,2931
24-09-2019 15:27,2968
25-09-2019 15:27,2950
26-09-2019 15:27,2951
27-09-2019 15:27,2932
28-09-2019 15:27,2894
29-09-2019 15:27,2901
30-09-2019 15:27,2988
01-10-2019 15:27,2925
02-10-2019 15:27,2926
03-10-2019 15:27,2912
04-10-2019 15:27,2928
05-10-2019 15:27,2964
06-10-2019 15:27,2905
07-10-2019 15:27,2833
08-10-2019 15:27,2901
09-10-2019 15:27,2884
10-10-2019 15:27,2885
11-10-2019 15:27,2917
12-10-2019 15:27,2942
13-10-2019 15:27,2912
14-10-2019 15:27,2874
15-10-2019 15:27,2898
16-10-2019 15:27,2863
17-10-2019 15:27,2928
18-10-2019 15:27,2884
19-10-2019 15:27,2901
20-10-2019 15:27,2846
21-10-2019 15:27,2914
22-10-2019 15:27,2869
23-10-2019 15:27,2885
24-10-2019 15:27,2829
25-10-2019 15:27,2900
26-10-2019 15:27,2867
27-10-2019 15:27,2843
28-10-2019 15:27,2891
29-10-2019 15:27,2893
30-10-2019 15:27,2901
31-10-2019 15:27,2902
01-11-2019 15:27,2871
02-11-2019 15:27,2892
03-11-2019 15:27,2859
04-11-2019 15:27,2870
05-11-2019 15:27,2856
06-11-2019 15:27,2857
07-11-2019 15:27,2846
08-11-2019 15:27,2855
09-11-2019 15:27,2863
10-11-2019 15:27,2806
11-11-2019 15:27,2798
12-11-2019 15:27,2893
13-11-2019 15:27,2871
14-11-2019 15:27,2879
15-11-2019 15:27,2841
16-11-2019 15:27,2830
17-11-2019 15:27,2836
18-11-2019 15:27,2880
19-11-2019 15:27,2821
20-11-2019 15:27,2867
21-11-2019 15:27,2838
22-11-2019 15:27,2861
23-11-2019 15:27,2801
24-11-2019 15:27,2862
25-11-2019 15:27,2845
26-11-2019 15:27,2810
27-11-2019 15:27,2826
28-11-2019 15:27,2839
29-11-2019 15:27,2833
30-11-2019 15:27,2900
01-12-2019 15:27,2793
02-12-2019 15:27,2896
03-12-2019 15:27,2834
04-12-2019 15:27,2862
05-12-2019 15:27,2865
06-12-2019 15:27,2845
07-12-2019 15:27,2846
08-12-2019 15:27,2853
09-12-2019 15:27,2853
10-12-2019 15:27,2842
11-12-2019 15:27,2813
12-12-2019 15:27,2827
13-12-2019 15:27,2836
14-12-2019 15:27,2862
15-12-2019 15:27,2858
16-12-2019 15:27,2928
17-12-2019 15:27,2825
18-12-2019 15:27,2802
19-12-2019 15:27,2834
20-12-2019 15:27,2841
21-12-2019 15:27,2909
22-12-2019 15:27,2870
